Facility Id;FRS Id;Facility Name;City;State;Zip Code;Address;County;Latitude;Longitude;Primary NAICS Code;Industry Type (subparts);Industry Type (sectors);Total reported direct emissions;CO2 emissions (non-biogenic) ;Methane (CH4) emissions ;Nitrous Oxide (N2O) emissions ;Biogenic CO2 emissions (metric tons);Stationary Combustion;Electricity Generation;Glass Production;Municipal Landfills;Industrial Wastewater Treatment
1001392;110001971439;Edward L Addison Generating Plant;THOMASTON;GA;30286;95 Edward L Addison Parkway;Upson;32.91;-84.31;221112;D;Power Plants;174958.086;174,777.40;81.75;98.94;;;174,958.09;;;
1000811;110012143493;Effingham County Power, LLC;RINCON;GA;31326;3440 MCCALL ROAD;Effingham;32.28;-81.28;221112;C,D;Power Plants;958832.648;957,859.40;444.00;529.25;;178.30;958,654.35;;;
1004898;110000588203;FRITO-LAY, INC. - PERRY PLANT;KATHLEEN;GA;31047;1200 HIGHWAY 247 SOUTH;HOUSTON;32.45;-83.60;311919;C;Other;29285.94;29,255.80;13.75;16.39;;29,285.94;;;;
1006863;110028005968;Flint Hills Resources Camilla, LLC;Pelham;GA;31779;4433 Lewis B Collins Rd;MITCHELL;31.17;-84.16;325193;C,II,PP;Other,Suppliers of CO2,Waste;162267.888;162,086.70;90.00;91.19;66.80;162,254.14;;;;13.75
1004667;110022863980;Fort Stewart Hqs 3rd Infantry Division (Mechanized);Fort Stewart;GA;31314;1550 Veterans Parkway;LIBERTY COUNTY;31.88;-81.61;928110;C,HH;Waste;46293.298;25,930.10;20,348.00;15.20;;25,957.80;;;20,335.50;
1007007;110043800964;Fulton County Merk Miles Road Landfill;College Park Road;GA;30349;3225 Merk Road;FULTON COUNTY;33.67;-84.57;562212;HH;Waste;14594.75;;14,594.75;;;;;;14,594.75;
1004366;110002009978;GENERAL MILLS INC.;COVINGTON;GA;30014;15200 INDUSTRIAL PARK BOULEVARD NE;NEWTON COUNTY;33.63;-83.83;311230;C;Other;23.6;23.60;;;;23.60;;;;
1004987;110012244197;GEORGIA FEED PRODUCTS CO;CUTHBERT;GA;39840;82 Georgia Feed Drive;RANDOLPH COUNTY;31.77;-84.73;311613;C;Other;84111.942;84,005.90;45.25;60.79;3,631.70;84,111.94;;;;
1004388;110043811836;GEORGIA INSTITUTE OF TECHNOLOGY;ATLANTA;GA;30332;151 Sixth Street NW;FULTON COUNTY;33.78;-84.39;611310;C;Other;50138.96;50,086.90;23.75;28.31;;50,138.96;;;;
1002516;110001326057;GEORGIA PACIFIC GYPSUM;SAVANNAH;GA;31404;151 WAHLSTROM ROAD;CHATHAM COUNTY;32.07;-81.05;327420;C;Minerals;38865.904;38,825.90;18.25;21.75;;38,865.90;;;;
1002823;110056956664;GEORGIA-PACIFIC CEDAR SPRINGS LLC;CEDAR SPRINGS;GA;39832;12551 GEORGIA HIGHWAY 273 WEST;EARLY COUNTY;31.17;-85.09;322130;AA,C,TT;Pulp and Paper,Waste;613719.858;553,690.80;51,574.50;8,454.56;1,575,154.90;455,601.55;;;;
1007453;110061627271;GEORGIA-PACIFIC CONSUMER Operations LLC - SAVANNAH RIVER MILL;RINCON;GA;31326;437 Old Augusta Road South;EFFINGHAM COUNTY;32.30;-81.19;322121;C,TT;Pulp and Paper,Waste;704468.868;487,695.20;215,413.00;1,360.67;5,571.00;489,711.87;;;;
1001103;110041343267;GERDAU AMERISTEEL CARTERSVILLE STEEL MILL;CARTERSVILLE;GA;30121;384 OLD GRASSDALE RD NE;BARTOW;34.24;-84.80;331111;C,Q;Metals;77905.336;77,846.70;26.75;31.89;;56,828.64;;;;
1003470;110005666243;GRAPHIC PACKAGING INTERNATIONAL;MACON;GA;31206;100 GRAPHIC PACKAGING INTERNATIONAL WAY;BIBB COUNTY;32.77;-83.63;322130;AA,C,TT;Pulp and Paper,Waste;110332.688;93,798.90;7,666.50;8,867.29;1,375,927.60;55,853.17;;;;
1012128;110005665743;Georgia-Pacific Wood Products, LLC - Monticello MDF Plant;Monticello;GA;31064;791 Georgia-Pacific Road;JASPER;33.28;-83.71;321219;C;Other;26934.648;26,906.70;12.75;15.20;;26,934.65;;;;
1003333;110013936447;Gordon County (Redbone Ridges) Landfill;Ranger;GA;30734;1224 Pleasant Hill Rd. Ext. NE;GORDON COUNTY;34.51;-84.76;562212;C,HH;Waste;143708;0.00;143,708.00;;;0.00;;;143,708.00;
1006731;110000359718;Graphic Packaging International - Augusta;Augusta;GA;30906;4278 Mike Padgett Highway;RICHMOND COUNTY;33.33;-81.95;322121;AA,C,TT;Pulp and Paper,Waste;350168.496;245,789.80;98,507.50;5,871.20;1,347,014.50;208,853.70;;;;
1006858;110038643956;Gun Club Road Landfill;Atlanta;GA;30318;1401 Gun Club Road N.W.;FULTON;33.79;-84.46;562212;HH;Waste;32063.75;;32,063.75;;;;;;32,063.75;
1004559;110007357109;HICKORY RIDGE LANDFILL;CONLEY;GA;30288;3330 MORELAND AVE.;DEKALB COUNTY;33.66;-84.34;562212;HH;Waste;5580.75;;5,580.75;;;;;;5,580.75;
1003983;110007357458;HOUSTON COUNTY PUBLIC WORKS DEPARTMENT;KATHLEEN;GA;31047;2080 GA HWY 247 SOUTH;HOUSTON COUNTY;32.40;-83.55;562212;HH;Waste;46767.5;;46,767.50;;;;;;46,767.50;
1011008;110034156080;Habersham County - S.R.-13 Municipal Solid Waste Landfill;Mt. Airy;GA;30563;4900 Dicks Hill Parkway;HABERSHAM COUNTY;34.55;-83.46;562212;HH;Waste;29327;;29,327.00;;;;;;29,327.00;
1003972;110043790939;Hall County Candler Road MSWLF;Gainesville;GA;30507;1700 Oakbrook Drive;HALL COUNTY;34.25;-83.80;562212;HH;Waste;62492.25;;62,492.25;;;;;;62,492.25;
1001506;110056960515;Hammond;ROME;GA;30129;5963 ALABAMA HWY SW;Floyd;34.25;-85.35;221112;D;Power Plants;650497.388;645,340.80;1,884.25;3,272.34;;;650,497.39;;;
1000085;110007250009;Hartwell Energy Facility;HARTWELL;GA;30643;415 SMITH MCGEE HWY;Hart;34.34;-82.82;221112;D;Power Plants;61402.168;61,339.10;28.50;34.57;;;61,402.17;;;
1005921;110005720256;Hawk Road Energy Facility;FRANKLIN;GA;30217;624 HAWK RD;Heard;33.36;-84.99;221112;D;Power Plants;316970.224;316,648.00;147.00;175.22;;;316,970.22;;;
1004747;110010039092;IMERYS Deepstep Road Plant;SANDERSVILLE;GA;31082;4062 DEEPSTEP ROAD;WASHINGTON COUNTY;33.02;-82.90;212324;C;Other;43149.836;43,104.90;20.50;24.44;;43,149.84;;;;
1004870;110000519895;IMERYS SANDERSVILLE CALCINE PLANT;SANDERSVILLE;GA;31082;618 KAOLIN ROAD;WASHINGTON COUNTY;32.96;-82.82;327992;C;Minerals;43914.336;43,869.40;20.50;24.44;;43,914.34;;;;
1006803;110000740958;INTERNATIONAL PAPER SAVANNA MILL;SAVANNAH;GA;31415;1201 WEST LATHROP AVENUE;CHATHAM COUNTY;32.10;-81.12;322130;AA,C;Pulp and Paper;365844.748;361,602.50;1,068.25;3,174.00;1,399,305.10;287,565.35;;;;
1004886;110059257806;INTERSTATE PAPER LLC;RICEBORO;GA;31323;2366 INTERSTATE PAPER ROAD;LIBERTY COUNTY;31.74;-81.41;322130;AA,C,II,TT;Pulp and Paper,Waste;41717.226;26,953.20;11,847.50;2,916.53;523,935.10;12,171.56;;;;1,518.00
1011216;110058240345;Imerys Oilfield Solutions;Wrens;GA;30833;1300 Commerce Connector;JEFFERSON COUNTY;33.21;-82.39;212324;C;Other;38517.104;38,477.10;18.25;21.75;;38,517.10;;;;
1006209;110056968045;International Paper - Flint River Mill;Oglethorpe;GA;31068;2449 Stagecoach Road;MACON COUNTY;32.25;-84.07;322110;AA,C,TT;Pulp and Paper,Waste;153194.486;69,752.00;78,583.00;4,859.49;1,246,177.60;28,657.78;;;;
1006760;110054076389;International Paper ROME LINERBOARD MILL;ROME;GA;30165;238 MAYS BRIDGE RD.;FLOYD COUNTY;34.25;-85.33;322130;AA,C,TT;Pulp and Paper,Waste;332454.804;250,988.10;74,024.75;7,441.95;1,420,989.80;196,841.15;;;;
1004901;110005670336;International Paper-Port Wentworth;Port Wentworth;GA;31407;1 Bonnybridge Rd;CHATHAM COUNTY;32.16;-81.16;322110;AA,C;Pulp and Paper;93449.28;89,361.00;777.50;3,310.78;833,214.80;45,597.60;;;;
1001508;110070081794;Jack McDonough;SMYRNA;GA;30080;5551 SOUTH COBB DRIVE;Cobb;33.82;-84.48;221112;C,D;Power Plants;6013156.916;6,007,051.10;2,785.50;3,320.32;;1,509.50;6,011,647.42;;;
1003420;110002439086;KAMIN LLC - Wrens;WRENS;GA;30833;2069 HOWARD MILL ROAD;JEFFERSON COUNTY;33.27;-82.41;212324;C;Other;77315.308;77,235.30;36.50;43.51;;77,315.31;;;;
1007971;110000499880;KING AMERICA FINISHING, INC.;Sylvania;GA;30467;1351 Scarboro Highway;SCREVEN;32.60;-81.74;313312;C;Other;39127.352;39,086.80;18.50;22.05;;39,127.35;;;;
1003449;110045521912;KaMin LLC-Macon;MACON;GA;31217;822 HUBER ROAD;TWIGGS;32.70;-83.55;212324;C;Other;22775.876;22,744.40;13.00;18.48;;22,775.88;;;;
1006807;110043813040;Key Road Landfill;Atlanta;GA;30316;1500 Key Road S.E.;DEKALB COUNTY;33.70;-84.33;562212;HH;Waste;21378.75;;21,378.75;;;;;;21,378.75;
1011199;110038902015;Kia Motors Manufacturing Georgia, Inc.;West Point;GA;31833;7777 Kia Parkway;TROUP COUNTY;32.92;-85.12;336111;C,QQ;Import and Export of Equipment Containing Fluorintaed GHGs,Other;21049.22;21,027.30;10.00;11.92;;21,049.22;;;;
1002542;110057337458;Kraton Chemical, LLC;Savannah;GA;31415;1201 West Lathrop Avenue;CHATHAM COUNTY;32.10;-81.12;325211;C;Other;56045.34;55,987.80;26.25;31.29;;56,045.34;;;;
1006229;110006396033;LIVE OAK LANDFILL & RECYLING CENTER;CONLEY;GA;30288;1189 HENRICO RD;DEKALB COUNTY;33.67;-84.34;562212;HH;Waste;8040.75;;8,040.75;;;;;;8,040.75;
1012422;110070082280;Laurens Co - Old Macon Road MSWL;Dublin;GA;31021;1645 Old Hawkinsville Road;LAURENS COUNTY;32.58;-83.06;562212;HH;Waste;26740.25;;26,740.25;;;;;;26,740.25;
1002057;110000360993;MILLERCOORS LLC;ALBANY;GA;31705;405 CORDELE ROAD;DOUGHERTY COUNTY;31.59;-84.09;312120;C;Other;31571.532;31,539.20;14.75;17.58;;31,571.53;;;;
1001757;110000588123;MOUNT VERNON MILLS INC APPAREL FABRICS DIV;TRION;GA;30753;91 FOURTH STREET;CHATTOOGA COUNTY;34.55;-85.31;313210;C;Other;126097.09;125,682.80;159.50;254.79;;126,097.09;;;;
1003335;110034144129;MURRAY COUNTY LANDFILL;CHATSWORTH;GA;30705;6585 US HWY 411 SOUTH;MURRAY COUNTY;34.68;-84.74;562212;HH;Waste;61989;;61,989.00;;;;;;61,989.00;
1011793;110064717392;Macon Bibb Walker Road MSWL;MACON;GA;31210;920 11th Street;BIBB COUNTY;32.82;-83.62;562212;HH;Waste;48753.75;;48,753.75;;;;;;48,753.75;
1012015;110056598944;Macon LNG;Macon;GA;31217;258 Henderson Road;BIBB;32.90;-83.51;221210;C,W-LNGSTG;Other,Petroleum and Natural Gas Systems;26417.8;26,355.40;47.50;14.90;;26,382.80;;;;
1001031;110000516273;McIntosh (6124);RINCON;GA;31326;981 OLD AUGUSTA ROAD;Effingham;32.36;-81.17;221112;C,D;Power Plants;70807.414;70,500.80;115.00;191.61;;0.00;70,807.41;;;
1000460;110028012175;McIntosh Combined Cycle Facility;RINCON;GA;31326;900 Old Augusta Road Central;Effingham;32.35;-81.18;221112;D;Power Plants;3378281.18;3,374,850.70;1,565.00;1,865.48;;;3,378,281.18;;;
1005799;110000359969;Mid-Georgia Cogeneration;KATHLEEN;GA;31047;200 OAKY WOODS ROAD;Houston;32.49;-83.60;221112;C,D;Power Plants;82674.326;82,586.80;39.25;48.28;;16,642.89;66,031.44;;;
1008021;110002101939;Mohawk Industries - S. HAMILTON ST. PLANT;DALTON;GA;30722;2100 South Hamilton Street;WHITFIELD COUNTY;34.73;-84.97;314110;C;Other;75719.116;75,641.30;35.50;42.32;;75,719.12;;;;
1006279;110013937071;NEWTON COUNTY LANDFILL;COVINGTON;GA;30016;205 LOWER RIVER RD;NEWTON COUNTY;33.55;-83.90;562212;HH;Waste;62437.75;;62,437.75;;;;;;62,437.75;
1003434;110000358693;NOVELIS CORP - GREENSBORO;GREENSBORO;GA;30642;1261 WILLOW RUN RD.;GREENE COUNTY;33.56;-83.20;331314;C;Metals;36509.012;36,461.50;19.50;28.01;;36,509.01;;;;
1011579;110007047061;New NGC, Inc.;Garden City;GA;31408;2 Brampton Road;CHATHAM COUNTY;32.11;-81.15;327420;C;Minerals;36444.012;36,406.20;17.25;20.56;;36,444.01;;;;
1002477;110030469758;OAK GROVE SANITARY LANDFILL;WINDER;GA;30680;967 CARL BETHLEHEM ROAD;BARROW COUNTY;33.97;-83.77;562212;HH;Waste;44917.25;;44,917.25;;;;;;44,917.25;
